"Height","Width","Aspect_ratio","Local","Is_Ad"
125,125,1,1,1
57,468,8.2105,1,1
33,230,6.9697,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
59,460,7.7966,1,1
60,234,3.9,1,1
60,468,7.8,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
90,52,0.5778,1,1
90,60,0.6667,1,1
90,60,0.6667,1,1
33,230,6.9697,1,1
60,468,7.8,1,1
60,468,7.8,0,1
125,125,1,1,1
60,468,7.8,1,1
30,585,19.5,1,1
90,60,0.6667,1,1
90,60,0.6667,1,1
90,60,0.6667,1,1
90,60,0.6667,1,1
51,110,2.1569,1,1
90,52,0.5778,1,1
90,60,0.6667,1,1
60,468,7.8,1,1
60,234,3.9,0,1
60,234,3.9,0,1
60,88,1.4667,0,1
60,120,2,0,1
35,125,3.5714,0,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,0,1
72,392,5.4444,1,1
60,468,7.8,1,1
60,468,7.8,1,1
50,107,2.14,0,1
50,107,2.14,0,1
50,107,2.14,0,1
50,107,2.14,0,1
60,468,7.8,0,1
125,125,1,1,1
60,468,7.8,0,1
60,468,7.8,1,1
60,468,7.8,0,1
125,125,1,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,120,2,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
125,125,1,1,1
60,468,7.8,1,1
120,125,1.0417,1,1
60,468,7.8,1,1
60,234,3.9,1,1
60,234,3.9,1,1
60,468,7.8,0,1
51,110,2.1569,0,1
51,110,2.1569,0,1
51,110,2.1569,0,1
51,110,2.1569,0,1
60,468,7.8,1,1
2,2,1,1,1
60,120,2,1,1
65,125,1.9231,0,1
125,125,1,0,1
125,125,1,0,1
51,110,2.1569,0,1
60,468,7.8,1,1
60,468,7.8,0,1
60,468,7.8,1,1
60,234,3.9,1,1
44,127,2.8864,1,1
60,468,7.8,1,1
80,80,1,1,1
80,80,1,1,1
80,80,1,1,1
60,468,7.8,1,1
80,80,1,1,1
80,80,1,1,1
80,80,1,1,1
125,125,1,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,234,3.9,1,1
60,234,3.9,1,1
60,234,3.9,0,1
60,234,3.9,1,1
64,231,3.6094,1,1
31,88,2.8387,1,1
100,100,1,1,1
74,54,0.7297,1,1
31,96,3.0968,0,1
100,100,1,1,1
93,147,1.5806,1,1
60,95,1.5833,1,1
21,188,8.9524,0,1
20,58,2.9,0,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
55,460,8.3636,1,1
60,468,7.8,1,1
60,468,7.8,1,1
135,126,0.9333,1,1
135,126,0.9333,1,1
135,126,0.9333,1,1
135,126,0.9333,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
30,159,5.3,0,1
51,110,2.1569,1,1
21,183,8.7143,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
50,400,8,1,1
50,400,8,1,1
60,468,7.8,0,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
26,468,18,1,1
60,468,7.8,1,1
136,93,0.6838,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
124,120,0.9677,1,1
60,468,7.8,0,1
125,125,1,0,1
125,125,1,0,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,1,1
20,83,4.15,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
124,120,0.9677,1,1
60,468,7.8,1,1
52,476,9.1538,1,1
45,100,2.2222,1,1
45,100,2.2222,1,1
45,100,2.2222,1,1
45,100,2.2222,1,1
60,468,7.8,1,1
124,120,0.9677,1,1
125,125,1,1,1
51,110,2.1569,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
165,90,0.5455,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,0,1
60,468,7.8,1,1
60,468,7.8,1,1
125,125,1,1,1
60,468,7.8,1,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,0,1
25,75,3,1,1
60,468,7.8,0,1
125,125,1,0,1
60,468,7.8,0,1
60,234,3.9,0,1
60,468,7.8,0,1
105,225,2.1429,0,1
51,110,2.1569,1,1
51,110,2.1569,1,1
60,468,7.8,0,1
51,110,2.1569,1,1
51,110,2.1569,1,1
60,468,7.8,1,1
60,468,7.8,1,1
125,125,1,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,234,3.9,1,1
60,468,7.8,1,1
60,400,6.6667,1,1
60,468,7.8,1,1
125,125,1,1,1
60,468,7.8,1,1
60,234,3.9,1,1
60,234,3.9,1,1
31,88,2.8387,0,1
60,468,7.8,0,1
51,110,2.1569,1,1
60,468,7.8,1,1
88,88,1,1,1
88,88,1,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,234,3.9,0,1
60,468,7.8,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
73,69,0.9452,0,1
72,392,5.4444,1,1
72,392,5.4444,1,1
60,468,7.8,1,1
60,88,1.4667,1,1
51,110,2.1569,1,1
60,88,1.4667,1,1
60,468,7.8,1,1
60,88,1.4667,1,1
60,468,7.8,1,1
90,120,1.3333,1,1
90,120,1.3333,1,1
90,120,1.3333,1,1
90,120,1.3333,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
93,261,2.8065,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
33,270,8.1818,1,1
60,468,7.8,1,1
33,142,4.303,1,1
33,230,6.9697,1,1
33,230,6.9697,0,1
60,468,7.8,0,1
60,468,7.8,0,1
60,120,2,1,1
60,120,2,1,1
60,234,3.9,1,1
60,468,7.8,1,1
60,468,7.8,0,1
60,120,2,1,1
60,234,3.9,1,1
60,468,7.8,0,1
125,125,1,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
43,230,5.3488,1,1
43,230,5.3488,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
43,230,5.3488,1,1
43,230,5.3488,1,1
43,230,5.3488,1,1
43,230,5.3488,1,1
60,234,3.9,1,1
60,468,7.8,1,1
60,468,7.8,1,1
120,125,1.0417,1,1
50,370,7.4,1,1
50,455,9.1,0,1
30,200,6.6667,1,1
30,200,6.6667,1,1
30,200,6.6667,1,1
30,200,6.6667,1,1
30,200,6.6667,1,1
30,200,6.6667,0,1
30,200,6.6667,1,1
50,309,6.18,1,1
51,110,2.1569,1,1
60,89,1.4833,1,1
33,230,6.9697,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
73,69,0.9452,0,1
51,110,2.1569,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
73,69,0.9452,0,1
73,69,0.9452,0,1
51,110,2.1569,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,0,1
60,468,7.8,0,1
60,468,7.8,0,1
60,120,2,1,1
60,120,2,1,1
60,468,7.8,0,1
60,120,2,1,1
477,129,0.2704,1,1
125,125,1,0,1
65,125,1.9231,0,1
477,129,0.2704,1,1
125,125,1,0,1
60,468,7.8,0,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,0,1
70,470,6.7143,0,1
60,468,7.8,0,1
60,468,7.8,1,1
60,468,7.8,1,1
60,43,0.7167,1,1
60,468,7.8,1,1
60,468,7.8,1,1
60,468,7.8,1,1
51,110,2.1569,1,1
51,110,2.1569,1,1
60,468,7.8,0,1
